,date,breed,color,name,sex,state
213,1999-03-29T00:00:00+00:00,Maltese,White,Indian,M/N,Lost
214,1999-03-29T00:00:00+00:00,Shih Tsu,Brindle,Mistro,M,Lost
215,1999-03-30T00:00:00+00:00,Maltipoo,White,Trixie,F,Matched
216,1999-03-30T00:00:00+00:00,Shih Tsu,Brindle,,M,Lost
217,1999-04-01T00:00:00+00:00,Border Collie,Black & White,Katie,F/S,Lost
218,1999-04-01T00:00:00+00:00,Lab,Yellow,Keily,F,Matched
219,1999-04-01T00:00:00+00:00,Lab X,Yellow,,M,Found
220,1999-04-02T00:00:00+00:00,Lab,Golden,Shadow,F,Lost
221,1999-04-03T00:00:00+00:00,Mini-Yorkie,Black & Brown,,M/N,Lost
222,1999-04-04T00:00:00+00:00,Lab,Chocolate,,M,Found
223,1999-04-04T00:00:00+00:00,Terrier X,Black & Tan,,F,Found
224,1999-04-09T00:00:00+00:00,Border Collie X Lab,Black,Madeline,F/S,Lost
225,1999-04-09T00:00:00+00:00,Cairn Terrier,Salt & Pepper,Watson,M/N,Matched
226,1999-04-09T00:00:00+00:00,Maltese,White,Pat,M/N,Lost
227,1999-04-10T00:00:00+00:00,Lab X Collie X Beagle,Two Black Dogs,Coco and Wayne,M,Found
228,1999-04-10T00:00:00+00:00,Maltipoo,Black & White,Barney,M,Lost
229,1999-04-10T00:00:00+00:00,Terr X Lab,Black & Grey,,M,Found
230,1999-04-11T00:00:00+00:00,Collie,Black,Sheka,F,Lost
231,1999-04-11T00:00:00+00:00,Poodle,Biege,Sparky,M,Lost
232,1999-04-12T00:00:00+00:00,Terr X Lab,Tan & White,Amber,F/S,Matched
233,1999-04-13T00:00:00+00:00,Border Collie Lab X,Black & White,Dudley,M/N,Matched
234,1999-04-13T00:00:00+00:00,Japanese Terrier X,Black & White,Henny,F/S,Matched
235,1999-04-13T00:00:00+00:00,Rott X Shep X Lab,Black,,M,Lost
236,1999-04-13T00:00:00+00:00,Shep X Rott,Black & Tan,Sheba,F,Lost
237,1999-04-13T00:00:00+00:00,Sheperd,Black & Tan,Fuji,F/S,Matched
238,1999-04-13T00:00:00+00:00,Shepherd  X,Cream,,F,Found
239,1999-04-13T00:00:00+00:00,Yellow Lab X Bord Collie,Black & Gold,Buster,M/N,Lost
240,1999-04-14T00:00:00+00:00,Boxer,Brown & White,,F/S,Lost
241,1999-04-14T00:00:00+00:00,J.R. Terrier,Brown & White,Kaspar,M,Found
242,1999-04-15T00:00:00+00:00,Pomeranian,Black & Tan,Mickey,M,Lost
243,1999-04-15T00:00:00+00:00,Poodle (small),Brown,Brownie,M/N,Lost
244,1999-04-16T00:00:00+00:00,Sheltie,Brown & Grey & White,,M,Found
245,1999-04-16T00:00:00+00:00,Shiba Inu,Cinnamon,Nishka,F/S,Lost
246,1999-04-16T00:00:00+00:00,Spaniel X,Reddish,,M,Found
247,1999-04-17T00:00:00+00:00,Chow,Black,,M,Lost
248,1999-04-17T00:00:00+00:00,Elkhound  X,Grey,Bear (aka fozzie),M,Matched
249,1999-04-17T00:00:00+00:00,"Shep  X  (small, curly tail)",Black & Tan,Max,M,Lost
