,date,breed,color,sex,state,name
322,1999-05-15,chow mix husky,"['tan', 'white']",m,lost,frankie
323,1999-05-15,german weimaraner,['beige short hair'],m,lost,mercury
324,1999-05-15,lhasa mix shih,"['white', 'grey']",m,found,unknown
325,1999-05-15,min pin,"['black', 'tan']",m,lost,unknown
326,1999-05-15,sheltie,"['tan', 'white']",m/n,found,tim
327,1999-05-16,lab,['brown'],m,matched,angus
328,1999-05-17,min schnauzer,"['grey', 'silver']",m,lost,fritz
329,1999-05-17,norwich terrier,['brown'],m,lost,bam bam
330,1999-05-17,sheltie,['sable'],f,lost,cutie
331,1999-05-18,shep mix husky,['blonde'],f/s,matched,sandi
332,1999-05-18,toy poodle,['black'],f/s,found,cheeka
333,1999-05-19,wolf mix shep,"['black', 'white']",m,found,commander
334,1999-05-19,wolf mix shep (pup),['tan'],m,lost,unknown
335,1999-05-20,german shepherd,"['black', 'tan']",m,matched,wang
336,1999-05-20,shepherd  mix,['tan'],m,matched,unknown
337,1999-05-26,bouvier,['black'],f,matched,christy
338,1999-05-26,jack russell terrier,"['tan', 'white']",f,lost,pipsqeak
339,1999-05-27,mutt,"['beige', 'white']",f/s,matched,seashell
340,1999-05-27,poodle,"['grey', ' black']",f,lost,unknown
341,1999-05-27,rott - chow mix,"['tan', 'rust']",f,lost,meg
342,1999-05-28,akita mix,['grey charcoal'],m/n,lost,frank
343,1999-05-28,gsh pointers,"['brown', 'liver']",m,found,unknown
344,1999-05-29,lab,['black'],m,matched,rocky
345,1999-05-29,rotty mix,"['black', 'brown']",f,lost,biko
346,1999-05-29,terrier mix collie,['black'],f,lost,leah
347,1999-05-30,bichon,['white'],m,matched,dodo
348,1999-05-30,poodle,['cream'],m,matched,dooby
349,1999-05-31,poodle,['white'],f/s,found,unknown
350,1999-06-01,sheperd,"['black', 'tan']",m,lost,chumley
351,1999-06-02,border collie,"['black', 'white']",m,matched,lassie
352,1999-06-02,bull mastiff mix rott,"['black', 'brown']",f/s,lost,jasmine
353,1999-06-02,min. pinsher,"['black', 'tan']",f,found,unknown
354,1999-06-02,shep  mix,"['black', 'tan']",m,matched,rocky
355,1999-06-02,shepherd,"['black', 'tan']",m,lost,duky
356,1999-06-03,beagle,"['white', 'tan']",m,lost,scrappy
357,1999-06-03,cocker spaniel,['gold'],f,found,unknown
358,1999-06-03,collie mix,['tri colour'],m,lost,charley
359,1999-06-03,j.r. terrier,"['brown', 'white']",f/s,matched,molly
360,1999-06-03,lab mix pointer,"['black', 'white']",m/n,matched,kai
361,1999-06-04,akita mix,['black'],f/s,matched,unknown
362,1999-06-04,lab mix,['black'],f/s,matched,unknown
